단가id,차량명,연식,부품명,부품등급,판매가격
1,투싼,2006,리어 머플러,A등급,"50,000"
2,A6,2013,프런트 머플러,A등급,"400,000"
3,A7,2015,프런트 머플러,A등급,"500,000"
4,골프,2015,리어 머플러,A등급,"300,000"
5,모닝,2009,프런트 머플러,A등급,"30,000"
6,그랜저 TG,2006,프런트 머플러,A등급,"80,000"
7,올 뉴 SM7,2012,리어 머플러,A등급,"200,000"
8,투싼IX,2015,프런트 머플러,A등급,"50,000"
9,맥스크루즈,2014,리어 머플러,A등급,"40,000"
10,K3,2015,프런트 머플러,A등급,"50,000"
11,옵티마,2003,센터 머플러,A등급,"35,000"
12,더 넥스트 스파크,2015,리어 머플러,A등급,"45,000"
13,QM3,2015,센터 머플러,A등급,"150,000"
14,SM5라구나,2010,프런트 머플러,A등급,"250,000"
15,아반떼AD,2015,프런트 머플러,A등급,"55,000"
16,올 뉴 SM7,2016,프런트 머플러,A등급,"300,000"
17,뉴3시리즈,2016,리어 머플러,A등급,"400,000"
18,S모델,2014,리어 머플러,A등급,협
19,E-class,2011,리어 머플러,A등급,협
20,제네시스,2012,프런트 머플러 RH,A등급,"80,000"
21,제네시스,2012,센터 머플러,A등급,"150,000"
22,뉴 카니발,2016,센터 머플러,A등급,"50,000"
23,레이,2012,머플러 ASSY,A등급,"200,000"
24,뉴 그랜저 XG,2004,프런트 머플러,A등급,"150,000"
25,뉴 EF 쏘나타,2002,프런트 머플러,A등급,"120,000"
26,레이,2012,프런트 머플러,A등급,"120,000"
27,그랜저 XG,2002,프런트 머플러,A등급,"150,000"
28,옵티마 리갈,2004,리어 머플러,C등급,"33,000"
29,옵티마 리갈,2004,프런트 머플러,A등급,"150,000"
30,옵티마,2000,센터 머플러,B등급,"25,000"
31,옵티마,2000,리어 머플러,A등급,"40,000"
32,SM3,2007,리어 머플러,A등급,"30,000"
33,마르샤,1996,리어 머플러,A등급,"40,000"
34,뉴 EF 쏘나타,2000,리어 머플러,A등급,"40,000"
35,쏘렌토,2004,프런트 머플러,A등급,"120,000"
36,아베오,2014,프런트 머플러,A등급,"80,000"
37,K7,2011,센터 머플러,A등급,"60,000"
38,트라제 XG,2003,리어 머플러,A등급,"40,000"
39,K5,2014,센터 머플러,A등급,"40,000"
40,맥스크루즈,2014,프런트 머플러,A등급,"30,000"
41,K5,2013,센터 머플러,A등급,"200,000"
42,뉴 SM5,2005,리어 머플러,A등급,"30,000"
43,올 뉴 SM7,2016,프런트 머플러,A등급,"300,000"
44,더 넥스트 스파크,2016,리어 머플러,A등급,"45,000"
45,뉴 그랜저 XG,2002,센터 머플러,A등급,"35,000"
