단가id,회사,차량명,연식,판매가격
1,현대,LF 쏘나타,2015,"80,000"
2,기아,카렌스 2,2004,"30,000"
3,기아,모하비,2009,"40,000"
4,르노삼성,SM7,2017,"264,000"
5,르노삼성,SM5 SM520,2002,"30,000"
6,현대,LF 쏘나타,2015,"44,000"
7,현대,LF 쏘나타,2015,"44,000"
8,현대,i30,2008,"33,000"
9,기아,all new 카니발,2018,"33,000"
10,현대,아반떼 HD,2009,"30,000"
11,현대,아반떼 HD,2009,"40,000"
12,현대,아반떼 HD,2008,"35,000"
13,현대,아반떼 HD,2008,"35,000"
14,현대,제네시스,2010,"350,000"
15,현대,제네시스,2010,"77,000"
16,현대,제네시스,2010,"55,000"
17,현대,제네시스,2010,"55,000"
18,현대,제네시스,2010,"77,000"
19,현대,NF 쏘나타,2007,"25,000"
20,기아,뉴쏘렌토 7인승 디젤(CRDI) 2WD LX,2007,"33,000"
21,현대,아반떼 XD,2002,"33,000"
22,기아,뉴쏘렌토 7인승 디젤(CRDI) 2WD LX,2007,"55,000"
23,현대,티뷰론 터뷸런스,2000,"66,000"
24,르노삼성,SM7,2005,"33,000"
25,현대,아반떼 XD,2002,"38,500"
26,기아,뉴쏘렌토 7인승 디젤(CRDI) 2WD LX,2007,"55,000"
27,르노삼성,SM7,2005,"33,000"
28,쌍용,액티언,2006,"44,000"
29,현대,쏘나타 3,1998,"44,000"
30,현대,아반떼 XD,2002,"33,000"
31,현대,뉴 그랜저 XG S25,2002,"44,000"
32,기아,뉴 프라이드,2007,"44,000"
33,현대,YF 쏘나타,2011,"55,000"
34,현대,싼타페,2004,"22,000"
35,BMW(비엠더블유),528i sedan,2008,"385,000"
36,현대,티뷰론 터뷸런스,2000,"55,000"
37,현대,YF 쏘나타,2011,"33,000"
38,기아,뉴카렌스 LPI 2 GX,2007,"45,000"
39,현대,YF 쏘나타,2011,"33,000"
40,쉐보레/GM대우,윈스톰,2007,"25,000"
41,쌍용,티볼리,2016,"40,000"
42,현대,포터2,2014,"25,000"
43,현대,트라제 XG,2007,"30,000"
